scenario,representation,path,n,sha256_float64,mean,p50,p90,min,max
t22_closed,frozen_pickle,waiting/T18/2,1000,b09c437b5103eecabd6a9c8f8c9b1a79dcd56541fab7d91efa88e10d43239f3f,22.04049609017581,15.925355752739451,48.08046207512876,0.0,112.0
t22_closed,frozen_pickle,waiting/T09/0,2314,86feb3eb740d460f97e5cc5a2aa15f57393a449a4724fa15c7da0759bd7173ee,8.399351849013813,5.750500327881285,19.295435150079268,0.0015062200628214038,64.14706550733771
t22_closed,frozen_pickle,waiting/T07/0,2112,dff6581de17195191d97dcb9fbf2e7131ad01c9021ce5af0e5ff23934cce69e4,8.26903424528129,5.734595808403305,18.857646680228804,0.002212701029107136,70.71631396892822
t22_closed,frozen_pickle,waiting/T08/0,2057,353e80a975cfc212b2d21693d599eedceaf24e6aa5371a81ee4bc9994e321e21,10.365229472435455,7.32776635857512,24.0540020496193,0.010095833263921971,97.23577247528459
t22_closed,frozen_pickle,waiting/T26/0,1994,5bf17f5bbc2fe6386934090212a6cb0f643cc99a8536275e6fe184d022e14992,9.40525510961666,6.541705327932929,21.32499929122241,0.010180338171587446,70.58194822376926
t22_closed,frozen_pickle,waiting/T25/0,1440,dc17918254b0dd2aecf4eb14da3f365f3d9d13cf6ac3e9427b5282a2f81eee63,9.849284563428807,7.079349151039146,22.36386209749275,0.00359760789773519,62.073385520530465
t22_closed,frozen_pickle,waiting/T19/0,1758,4e66aa42a98416068e5c9cc62110eae55068815f421c8476b95170d52aff3565,9.046269390522356,6.497030748267061,20.686840571662565,0.0009474287762586218,61.864205720754924
t22_closed,frozen_pickle,waiting/Res.GateOut/0,71568,34ab9d34b8930967af78c39ad2f81da982b9f361c48a9eb3e3af4053e75a9009,11.53305765506163,8.727417776651052,22.769957446515505,0.28733115467109355,187.7706600393505
demand_plus_20pct,frozen_pickle,arrival/0,71530,560960853a5dcc4e34c7528771caeb6ba62a02ddb02c3ca60e2167bbeec97278,0.5692017335383756,0.0,1.6666666666666667,0.0,15.833333333333334
demand_plus_20pct,frozen_pickle,execution/HO2_delivery/0,5775,5ce164d8dea5a0be4fd8701918067a851538fc1a37f3d11c102599e0b9f6a9df,9.929054408922294,6.59344316527131,21.562893280651988,0.06607629343300883,91.0
demand_plus_20pct,frozen_pickle,execution/LL_receive/0,1932,d540bfbb3c11c2b7d6719c628f7fede50cb59e3bc82f77e4ce93a4ea711ed022,9.016884680690287,6.838931188909704,16.955970534875863,2.0,71.0
demand_plus_20pct,frozen_pickle,execution/Gate Out/0,71568,d42e7b176002506cf86556e3db8689c391593e8c644d050499def8dd96a54435,0.0,0.0,0.0,0.0,0.0
demand_plus_20pct,frozen_pickle,execution/LL_delivery/0,9612,1d70d23412ca7923eab02c0c7b0126df34bc66f245021e496e2715fde332205c,9.599123698637003,7.17357764940854,18.79353984291788,1.1318196060219825,62.0
demand_plus_20pct,frozen_pickle,execution/RMG_delivery/0,17823,94cf01456d8516d9eb5af1ddbeee4889d1dad5af427609169ea49d0b73615a53,8.797084409518549,6.499524447449202,17.404902907644196,0.4158255550685677,155.8089306436314
demand_plus_20pct,frozen_pickle,execution/HO2_mixed/0,1000,345451d924f70d66c73dc3ef1c6125de3b78d9c406b46fbdac80fe698ba2c4c9,22.76217936993536,20.861248509532565,39.48254094185116,2.766541621499684,81.06065881618755
demand_plus_20pct,frozen_pickle,execution/RMG_mixed/0,3986,4297b85bb9993b5c276a845ece009464867c5f63baa370d2252a14f8c8910860,18.807087732273796,15.75109091461983,34.37610942013009,1.6728200857984101,139.0
demand_plus_20pct,frozen_pickle,execution/HO2_receive/0,4188,c6e7c710adbb902c8a1b627a5989aa2fb2e049d4ae1e16c05858e62485fa024f,16.62616696797465,13.586323910562506,31.44820240504268,0.13642389647255304,117.0
demand_plus_20pct,frozen_pickle,execution/LL_mixed/0,1000,40a4cc1b8c6e8abc079472a0040af6d321733e525cd15b3b951fcc71c062c6e0,11.248429482274739,9.26743811253859,19.63970748748823,3.0,48.0
demand_plus_20pct,frozen_pickle,execution/RMG_receive/0,32794,4e2024d0d69863ac7022c67a59d2eec89fe9d45f3dccc13d216f556dcad9e278,11.307668345754045,8.722259666725336,21.924057496389068,0.3476141911803076,203.0
