scenario,pickle_sha256,json_sha256,rules_mode_equal,use_workload_features_equal,resources_equal,max_concurrency_equal,calendars_equal,empirical_case_attribute_distribution_equal,pickle_sampled_nodes,roundtrip_sampled_nodes_before_runtime,pickle_arrival_sample_n,roundtrip_arrival_sample_n_before_runtime,ctb_calibration_metadata_in_pickle,ctb_calibration_metadata_after_roundtrip
baseline,d654924277035011e5e5cd666f30d1015993101139ad0d054510e8da75a58b22,474195b5ebbfc0248b4dc83ad447114c677fa3405e6fccbcda666f4e40ec0934,True,True,True,True,True,True,39,0,71530,0,True,False
t22_closed,4d6ef79e21d221c135f967b2ca2ae494f24049f67eb6b37707bdf2d9f883d62c,c213f59719e98ef29cd27f714bd81761ed9e906db41c91138d137ab454854d2c,True,True,True,True,True,True,39,0,71530,0,True,False
demand_plus_20pct,d5e78080f49112c9a9e1d1e7fa05db2f6e2ca56fdf08b07c774622ceb551b66d,b410907a83462614b02dd62f48d0c23d6d2c91af0df24074d97db1beff0d179b,True,True,True,True,True,True,39,0,71530,0,True,False
